timestamp,symbol,signal,strategy,exposure,urgency,regime,mtf_confluence_score
2026-03-04T14:05:30.364038,XAUUSDm,SELL,QuietMarket,0.19525672101164135,NORMAL,QUIET,27.34
2026-03-04T14:06:14.851141,XAUUSDm,SELL,QuietMarket,0.1935897942951631,NORMAL,QUIET,27.51
2026-03-04T14:06:38.704064,XAUUSDm,SELL,QuietMarket,0.19490929381856353,NORMAL,QUIET,27.13
2026-03-04T14:07:02.888626,XAUUSDm,SELL,QuietMarket,0.1949089640504988,NORMAL,QUIET,27.45
2026-03-04T14:07:27.102012,XAUUSDm,SELL,QuietMarket,0.19618365628708845,NORMAL,QUIET,27.44
2026-03-04T14:07:51.749296,XAUUSDm,SELL,QuietMarket,0.19490906226997365,NORMAL,QUIET,27.39
2026-03-04T14:08:15.961704,XAUUSDm,SELL,QuietMarket,0.19490908990833689,NORMAL,QUIET,27.37
2026-03-04T14:08:40.174330,XAUUSDm,SELL,QuietMarket,0.19490791207403413,NORMAL,QUIET,27.85
2026-03-04T14:09:04.566725,XAUUSDm,SELL,QuietMarket,0.19490823196781654,NORMAL,QUIET,27.75
2026-03-04T14:09:28.913259,XAUUSDm,SELL,QuietMarket,0.19490722193742557,NORMAL,QUIET,28.03
2026-03-04T14:12:09.350656+00:00,XAUUSDm,SELL,QuietMarket,0.19525501960874037,NORMAL,QUIET,29.37
2026-03-04T14:12:33.765524+00:00,XAUUSDm,SELL,QuietMarket,0.1949093858781742,NORMAL,QUIET,29.02
2026-03-04T14:12:56.855830+00:00,XAUUSDm,SELL,QuietMarket,0.19490507794323156,NORMAL,QUIET,29.53
2026-03-04T14:13:20.663292+00:00,XAUUSDm,SELL,QuietMarket,0.19490593934202682,NORMAL,QUIET,29.24
2026-03-04T14:13:45.109472+00:00,XAUUSDm,SELL,QuietMarket,0.19323528991037603,NORMAL,QUIET,29.72
2026-03-04T14:14:08.633431+00:00,XAUUSDm,SELL,QuietMarket,0.19490111242421482,NORMAL,QUIET,29.63
2026-03-04T14:14:31.699972+00:00,XAUUSDm,SELL,QuietMarket,0.1949044444257328,NORMAL,QUIET,29.31
2026-03-04T14:14:55.176581+00:00,XAUUSDm,SELL,QuietMarket,0.1952501062130949,NORMAL,QUIET,29.58
2026-03-04T14:15:18.518702+00:00,XAUUSDm,SELL,QuietMarket,0.19490072091091715,NORMAL,QUIET,30.86
2026-03-04T14:15:42.341837+00:00,XAUUSDm,SELL,QuietMarket,0.19323680864778667,NORMAL,QUIET,30.56
2026-03-04T14:16:06.066023+00:00,XAUUSDm,SELL,QuietMarket,0.19490200921906964,NORMAL,QUIET,30.43
2026-03-04T14:16:30.748041+00:00,XAUUSDm,SELL,QuietMarket,0.1949030395831922,NORMAL,QUIET,29.83
2026-03-04T14:16:54.969287+00:00,XAUUSDm,SELL,QuietMarket,0.19490307269934745,NORMAL,QUIET,29.72
2026-03-04T14:17:19.959443+00:00,XAUUSDm,SELL,QuietMarket,0.19358772847259634,NORMAL,QUIET,29.54
2026-03-04T14:17:45.242762+00:00,XAUUSDm,SELL,QuietMarket,0.1949030142954973,NORMAL,QUIET,29.45
2026-03-04T14:18:10.066717+00:00,XAUUSDm,SELL,QuietMarket,0.19525099635225365,NORMAL,QUIET,29.48
2026-03-04T14:18:34.295905+00:00,XAUUSDm,SELL,QuietMarket,0.19490279263614155,NORMAL,QUIET,30.0
2026-03-04T14:18:58.788935+00:00,XAUUSDm,SELL,QuietMarket,0.19525112403396427,NORMAL,QUIET,29.67
2026-03-04T14:19:21.791865+00:00,XAUUSDm,SELL,QuietMarket,0.1952511214068262,NORMAL,QUIET,29.66
2026-03-04T14:19:44.926688+00:00,XAUUSDm,SELL,QuietMarket,0.19358770491785385,NORMAL,QUIET,29.46
2026-03-04T14:20:08.104121+00:00,XAUUSDm,SELL,QuietMarket,0.19491150459615436,NORMAL,QUIET,27.06
2026-03-04T14:20:32.782685+00:00,XAUUSDm,SELL,QuietMarket,0.19491073120504565,NORMAL,QUIET,27.15
2026-03-04T14:20:55.674278+00:00,XAUUSDm,SELL,QuietMarket,0.19525592440417774,NORMAL,QUIET,27.41
2026-03-04T14:21:19.490105+00:00,XAUUSDm,SELL,QuietMarket,0.1949071775058222,NORMAL,QUIET,27.46
2026-03-04T14:25:24.824761+00:00,XAUUSDm,SELL,QuietMarket,0.1952547852044364,NORMAL,QUIET,32.11
