time,open,high,low,close,tick_volume,spread,real_volume,rsi,macd,macd_signal,macd_hist,bb_middle,bb_upper,bb_lower,stoch_k,stoch_d,sma_20,sma_50,ema_12,ema_26,atr,adx,target,signal,returns,equity
2026-02-18 09:15:00,4938.31,4941.24,4932.37,4938.9,1958,30,0,74.21833598304225,10.79360610333788,11.412231711902104,-0.6186256085642245,4927.083,4947.517316956244,4906.648683043755,86.62473794549072,76.8851885635102,4927.083,4899.7362,4930.900786529195,4920.107180425857,7.882142857143078,,0,0,0.00012149930137894671,9985.426923270768
2026-02-18 09:30:00,4938.9,4940.4,4933.74,4933.92,1377,30,0,57.74202815283043,10.234928663155188,11.176771102152722,-0.9418424389975346,4928.5345,4946.278257953443,4910.790742046556,52.88350634371394,74.6563629658837,4928.5345,4901.0764,4931.365280909319,4921.130352246164,7.448571428571605,,0,0,-0.0,9985.426923270768
2026-02-18 09:45:00,4933.89,4935.41,4929.01,4930.12,1266,30,0,45.86136297162908,9.377447151180604,10.8169063119583,-1.4394591607776963,4929.782,4943.706482944001,4915.857517055999,30.04091174751696,56.51638534557389,4929.782,4901.9408,4931.1736992309625,4921.796252079782,7.288571428571556,,0,0,-0.0,9985.426923270768
2026-02-18 10:00:00,4930.13,4932.18,4926.72,4929.28,2060,30,0,44.22023637935952,8.53175711016138,10.359876471598916,-1.8281193614375368,4930.62,4941.944996107582,4919.295003892418,25.131502045587585,36.01864004560617,4930.62,4902.7394,4930.882360887737,4922.350603777576,7.285714285714415,,0,0,-0.0,9985.426923270768
2026-02-18 10:15:00,4929.2,4929.23,4922.62,4925.82,1640,30,0,39.221955768717834,7.495940045430871,9.787089186365307,-2.2911491409344364,4930.9495,4941.212876842207,4920.686123157792,16.435541859269524,23.869318550791363,4930.9495,4903.2796,4930.103536135778,4922.607596090347,7.1957142857144,,0,0,-0.0,9985.426923270768
2026-02-18 10:30:00,4925.83,4926.83,4919.3,4921.1,1933,30,0,35.55555555555506,6.222454424396346,9.074162233971515,-2.851707809575169,4931.0745,4940.7485596711485,4921.400440328851,7.898200965336484,16.4884149567312,4931.0745,4903.8306,4928.718376730274,4922.495922305878,7.114285714285805,,0,0,-0.0,9985.426923270768
2026-02-18 10:45:00,4921.15,4922.6,4916.56,4917.05,2227,30,0,28.96440129449826,4.830721195103251,8.225474026197862,-3.3947528310946105,4930.896,4941.471971573877,4920.320028426122,1.919310614961953,8.751017813189325,4930.896,4904.5016,4926.923241848694,4922.09252065359,6.990000000000042,,0,0,-0.0,9985.426923270768
2026-02-18 11:00:00,4917.1,4920.42,4912.87,4916.62,2743,30,0,29.038238702201284,3.6509789648007427,7.310575013918438,-3.6595960491176953,4930.300499999999,4942.632801573504,4917.968198426494,12.833675564681613,7.550395714993354,4930.300499999999,4905.147,4925.338127718125,4921.687148753324,7.140714285714304,,1,0,-0.0,9985.426923270768
2026-02-18 11:15:00,4916.61,4922.91,4912.93,4921.21,2158,30,0,37.00821444012137,3.0512267448793864,6.458705360110627,-3.4074786152312404,4929.7135,4942.619091240147,4916.807908759853,28.542094455852407,14.431693545165329,4929.7135,4905.9684,4924.703031146106,4921.651804401226,7.457857142857132,,0,0,0.0,9985.426923270768
2026-02-18 11:30:00,4921.23,4922.93,4916.14,4920.51,1785,30,0,42.38672938846283,2.4907231338875135,5.665108914866004,-3.174385780978491,4929.0745,4942.489962367019,4915.6590376329805,26.146475017112458,22.50741501254883,4929.0745,4906.7878,4924.05794943132,4921.567226297432,7.360714285714233,,0,0,-0.0,9985.426923270768
2026-02-18 11:45:00,4920.5,4922.08,4916.1,4917.17,1838,30,0,33.57463804293556,1.7567590724675028,4.883438946386304,-3.1266798739188015,4928.2375,4942.447971861304,4914.027028138697,14.715947980835539,23.134839151266807,4928.2375,4907.5782,4922.998264903424,4921.241505830956,7.258571428571291,,1,0,-0.0,9985.426923270768
2026-02-18 12:00:00,4917.18,4924.25,4916.62,4919.99,2622,30,0,37.10706688726071,1.3866532229521908,4.184081801699482,-2.797428578747291,4927.584000000001,4942.060308630778,4913.107691369223,24.366872005475116,21.74309833447437,4927.584000000001,4908.4106,4922.535454918282,4921.14880169533,7.379285714285613,,1,0,0.0,9985.426923270768
2026-02-18 12:15:00,4920.01,4924.28,4917.77,4921.42,2803,30,0,39.42462600690491,1.194956010676833,3.586256643494952,-2.391300632818119,4926.8925,4941.146515685148,4912.638484314852,29.260780287474702,22.78120009126179,4926.8925,4909.2816,4922.363846469316,4921.168890458639,7.444285714285537,,0,0,0.0,9985.426923270768
